transaction_detail_id,transaction_id,line_number,product_id,old_product_id,new_product_id,quantity,unit_price,discount_amount,tax_amount,amount
12235,12235,1,3,2,3,1,899.00,0.00,161.82,1060.82
12236,12236,1,4,,4,1,1299.00,129.90,210.44,1379.54
12237,12237,1,1,,1,1,424.15,0.00,76.35,500.50
12238,12238,1,1,,1,1,499.00,0.00,89.82,588.82
12239,12239,1,1,,1,1,474.05,0.00,85.33,559.38
12240,12240,1,3,,3,1,764.15,76.42,123.79,811.52
12241,12241,1,4,,4,1,1299.00,0.00,233.82,1532.82
12242,12242,1,3,,3,1,899.00,0.00,161.82,1060.82
12243,12243,1,4,,4,1,1299.00,129.90,210.44,1379.54
12244,12244,1,3,,3,1,899.00,0.00,161.82,1060.82
12245,12245,1,1,,1,1,499.00,0.00,89.82,588.82
12246,12246,1,5,,5,1,999.50,0.00,179.91,1179.41
12247,12247,1,1,,1,1,449.10,44.91,72.75,476.94
12248,12248,1,2,,2,1,699.00,0.00,125.82,824.82
12249,12249,1,3,,3,1,899.00,44.95,153.73,1007.78
12250,12250,1,4,,4,1,1299.00,129.90,210.44,1379.54
12251,12251,1,3,,3,1,899.00,44.95,153.73,1007.78
12252,12252,1,3,,3,1,899.00,0.00,161.82,1060.82
12253,12253,1,4,,4,1,1299.00,0.00,233.82,1532.82
12254,12254,1,2,,2,1,699.00,34.95,119.53,783.58
12255,12255,1,3,2,3,1,899.00,0.00,161.82,1060.82
12256,12256,1,1,,1,1,424.15,0.00,76.35,500.50
12257,12257,1,3,,3,1,809.10,0.00,145.64,954.74
12258,12258,1,2,,2,1,699.00,34.95,119.53,783.58
12259,12259,1,3,,3,1,854.05,0.00,153.73,1007.78
12260,12260,1,3,2,3,1,899.00,0.00,161.82,1060.82
12261,12261,1,2,,2,1,699.00,34.95,119.53,783.58
12262,12262,1,2,,2,1,699.00,34.95,119.53,783.58
12263,12263,1,1,,1,1,499.00,24.95,85.33,559.38
12264,12264,1,1,,1,1,474.05,0.00,85.33,559.38
12265,12265,1,1,2,1,1,499.00,0.00,89.82,588.82
12266,12266,1,1,,1,1,449.10,0.00,80.84,529.94
12267,12267,1,5,,5,1,1699.15,169.92,275.26,1804.49
12268,12268,1,2,,2,1,699.00,69.90,113.24,742.34
12269,12269,1,3,,3,1,764.15,0.00,137.55,901.70
12270,12270,1,2,,2,1,699.00,34.95,119.53,783.58
12271,12271,1,3,,3,1,899.00,44.95,153.73,1007.78
12272,12272,1,2,,2,1,664.05,33.20,113.55,744.40
12273,12273,1,5,,5,1,1899.05,0.00,341.83,2240.88
12274,12274,1,2,,2,1,699.00,0.00,125.82,824.82
12275,12275,1,2,,2,1,699.00,0.00,125.82,824.82
12276,12276,1,4,,4,1,1299.00,129.90,210.44,1379.54
12277,12277,1,1,,1,1,449.10,0.00,80.84,529.94
12278,12278,1,3,,3,1,854.05,0.00,153.73,1007.78
12279,12279,1,2,3,2,1,699.00,0.00,125.82,824.82
12280,12280,1,1,,1,1,499.00,49.90,80.84,529.94
12281,12281,1,4,,4,1,1234.05,0.00,222.13,1456.18
12282,12282,1,4,5,4,1,1299.00,0.00,233.82,1532.82
12283,12283,1,2,,2,1,594.15,0.00,106.95,701.10
12284,12284,1,3,,3,1,899.00,0.00,161.82,1060.82
