transaction_id,transaction_number,customer_id,service_id,transaction_type,transaction_date,transaction_status,amount,currency,channel,created_at
12235,TXN-0000012235,907,907,UPGRADE,2026-09-12T02:15:30+00:00,COMPLETED,899.00,INR,APP,2026-09-12T09:29:33.288197+00:00
12236,TXN-0000012236,660,660,RENEWAL,2026-09-12T21:55:05+00:00,COMPLETED,1299.00,INR,PARTNER,2026-09-12T09:29:33.288197+00:00
12237,TXN-0000012237,1618,1618,RENEWAL,2026-09-12T00:19:52+00:00,COMPLETED,424.15,INR,WEB,2026-09-12T09:29:33.288197+00:00
12238,TXN-0000012238,7749,7749,ACTIVATION,2026-09-12T03:24:01+00:00,COMPLETED,499.00,INR,WEB,2026-09-12T09:29:33.288197+00:00
12239,TXN-0000012239,9816,9816,RENEWAL,2026-09-12T18:12:37+00:00,COMPLETED,474.05,INR,STORE,2026-09-12T09:29:33.288197+00:00
12240,TXN-0000012240,9973,9973,RENEWAL,2026-09-12T19:36:25+00:00,COMPLETED,764.15,INR,API,2026-09-12T09:29:33.288197+00:00
12241,TXN-0000012241,5494,5494,RENEWAL,2026-09-12T02:04:23+00:00,COMPLETED,1299.00,INR,WEB,2026-09-12T09:29:33.288197+00:00
12242,TXN-0000012242,1247,1247,RENEWAL,2026-09-12T23:51:33+00:00,COMPLETED,899.00,INR,CALL_CENTER,2026-09-12T09:29:33.288197+00:00
12243,TXN-0000012243,4784,4784,RENEWAL,2026-09-12T06:38:24+00:00,COMPLETED,1299.00,INR,CALL_CENTER,2026-09-12T09:29:33.288197+00:00
12244,TXN-0000012244,136,136,RENEWAL,2026-09-12T07:54:36+00:00,COMPLETED,899.00,INR,API,2026-09-12T09:29:33.288197+00:00
12245,TXN-0000012245,2940,2940,RENEWAL,2026-09-12T17:20:59+00:00,COMPLETED,499.00,INR,APP,2026-09-12T09:29:33.288197+00:00
12246,TXN-0000012246,6806,6806,RECONNECTION,2026-09-12T19:36:21+00:00,COMPLETED,999.50,INR,PARTNER,2026-09-12T09:29:33.288197+00:00
12247,TXN-0000012247,7073,7073,RENEWAL,2026-09-12T07:33:01+00:00,COMPLETED,449.10,INR,APP,2026-09-12T09:29:33.288197+00:00
12248,TXN-0000012248,24,24,RENEWAL,2026-09-12T18:01:54+00:00,COMPLETED,699.00,INR,APP,2026-09-12T09:29:33.288197+00:00
12249,TXN-0000012249,2414,2414,ACTIVATION,2026-09-12T00:24:44+00:00,COMPLETED,899.00,INR,API,2026-09-12T09:29:33.288197+00:00
12250,TXN-0000012250,6814,6814,RENEWAL,2026-09-12T22:31:52+00:00,COMPLETED,1299.00,INR,PARTNER,2026-09-12T09:29:33.288197+00:00
12251,TXN-0000012251,8498,8498,ACTIVATION,2026-09-12T01:50:28+00:00,COMPLETED,899.00,INR,STORE,2026-09-12T09:29:33.288197+00:00
12252,TXN-0000012252,7514,7514,RENEWAL,2026-09-12T04:14:39+00:00,COMPLETED,899.00,INR,API,2026-09-12T09:29:33.288197+00:00
12253,TXN-0000012253,5952,5952,RENEWAL,2026-09-12T20:28:29+00:00,COMPLETED,1299.00,INR,WEB,2026-09-12T09:29:33.288197+00:00
12254,TXN-0000012254,4776,4776,ACTIVATION,2026-09-12T07:00:15+00:00,COMPLETED,699.00,INR,PARTNER,2026-09-12T09:29:33.288197+00:00
12255,TXN-0000012255,7720,7720,UPGRADE,2026-09-12T18:03:32+00:00,COMPLETED,899.00,INR,APP,2026-09-12T09:29:33.288197+00:00
12256,TXN-0000012256,3902,3902,RENEWAL,2026-09-12T17:26:25+00:00,COMPLETED,424.15,INR,API,2026-09-12T09:29:33.288197+00:00
12257,TXN-0000012257,4590,4590,ACTIVATION,2026-09-12T16:23:30+00:00,COMPLETED,809.10,INR,API,2026-09-12T09:29:33.288197+00:00
12258,TXN-0000012258,8929,8929,RENEWAL,2026-09-12T13:21:11+00:00,COMPLETED,699.00,INR,STORE,2026-09-12T09:29:33.288197+00:00
12259,TXN-0000012259,1986,1986,ACTIVATION,2026-09-12T21:23:36+00:00,COMPLETED,854.05,INR,APP,2026-09-12T09:29:33.288197+00:00
12260,TXN-0000012260,1603,1603,UPGRADE,2026-09-12T02:59:23+00:00,COMPLETED,899.00,INR,WEB,2026-09-12T09:29:33.288197+00:00
12261,TXN-0000012261,2907,2907,RENEWAL,2026-09-12T09:38:59+00:00,COMPLETED,699.00,INR,PARTNER,2026-09-12T09:29:33.288197+00:00
12262,TXN-0000012262,3671,3671,RENEWAL,2026-09-12T06:27:53+00:00,COMPLETED,699.00,INR,CALL_CENTER,2026-09-12T09:29:33.288197+00:00
12263,TXN-0000012263,7349,7349,RENEWAL,2026-09-12T01:13:58+00:00,COMPLETED,499.00,INR,APP,2026-09-12T09:29:33.288197+00:00
12264,TXN-0000012264,7768,7768,RENEWAL,2026-09-12T15:28:39+00:00,COMPLETED,474.05,INR,STORE,2026-09-12T09:29:33.288197+00:00
12265,TXN-0000012265,4407,4407,DOWNGRADE,2026-09-12T01:10:39+00:00,COMPLETED,499.00,INR,WEB,2026-09-12T09:29:33.288197+00:00
12266,TXN-0000012266,1987,1987,RENEWAL,2026-09-12T17:52:59+00:00,COMPLETED,449.10,INR,APP,2026-09-12T09:29:33.288197+00:00
12267,TXN-0000012267,160,160,RENEWAL,2026-09-12T06:32:46+00:00,COMPLETED,1699.15,INR,CALL_CENTER,2026-09-12T09:29:33.288197+00:00
12268,TXN-0000012268,5046,5046,RENEWAL,2026-09-12T02:10:08+00:00,COMPLETED,699.00,INR,STORE,2026-09-12T09:29:33.288197+00:00
12269,TXN-0000012269,8943,8943,RENEWAL,2026-09-12T13:46:39+00:00,COMPLETED,764.15,INR,PARTNER,2026-09-12T09:29:33.288197+00:00
12270,TXN-0000012270,8313,8313,RENEWAL,2026-09-12T00:32:02+00:00,COMPLETED,699.00,INR,STORE,2026-09-12T09:29:33.288197+00:00
12271,TXN-0000012271,4478,4478,RENEWAL,2026-09-12T09:30:54+00:00,COMPLETED,899.00,INR,PARTNER,2026-09-12T09:29:33.288197+00:00
12272,TXN-0000012272,5817,5817,RENEWAL,2026-09-12T00:29:45+00:00,COMPLETED,664.05,INR,API,2026-09-12T09:29:33.288197+00:00
12273,TXN-0000012273,2389,2389,RENEWAL,2026-09-12T07:37:39+00:00,COMPLETED,1899.05,INR,APP,2026-09-12T09:29:33.288197+00:00
12274,TXN-0000012274,3663,3663,RENEWAL,2026-09-12T15:11:48+00:00,COMPLETED,699.00,INR,API,2026-09-12T09:29:33.288197+00:00
12275,TXN-0000012275,5103,5103,RENEWAL,2026-09-12T18:38:39+00:00,COMPLETED,699.00,INR,WEB,2026-09-12T09:29:33.288197+00:00
12276,TXN-0000012276,2467,2467,RENEWAL,2026-09-12T20:43:15+00:00,COMPLETED,1299.00,INR,STORE,2026-09-12T09:29:33.288197+00:00
12277,TXN-0000012277,4781,4781,RENEWAL,2026-09-12T02:54:28+00:00,COMPLETED,449.10,INR,API,2026-09-12T09:29:33.288197+00:00
12278,TXN-0000012278,8853,8853,RENEWAL,2026-09-12T12:16:58+00:00,COMPLETED,854.05,INR,WEB,2026-09-12T09:29:33.288197+00:00
12279,TXN-0000012279,8959,8959,DOWNGRADE,2026-09-12T14:13:44+00:00,COMPLETED,699.00,INR,CALL_CENTER,2026-09-12T09:29:33.288197+00:00
12280,TXN-0000012280,8734,8734,RENEWAL,2026-09-12T23:32:42+00:00,COMPLETED,499.00,INR,PARTNER,2026-09-12T09:29:33.288197+00:00
12281,TXN-0000012281,5434,5434,RENEWAL,2026-09-12T12:02:08+00:00,COMPLETED,1234.05,INR,API,2026-09-12T09:29:33.288197+00:00
12282,TXN-0000012282,4947,4947,DOWNGRADE,2026-09-12T03:57:46+00:00,COMPLETED,1299.00,INR,STORE,2026-09-12T09:29:33.288197+00:00
12283,TXN-0000012283,2011,2011,RENEWAL,2026-09-12T22:15:49+00:00,COMPLETED,594.15,INR,WEB,2026-09-12T09:29:33.288197+00:00
12284,TXN-0000012284,7378,7378,RENEWAL,2026-09-12T10:38:41+00:00,COMPLETED,899.00,INR,CALL_CENTER,2026-09-12T09:29:33.288197+00:00
